74;Информация;о;законе;;;;;;;;;
75;Причины;;;;;;;;;;;
76;Текущие;результаты;;;;;;;;;;
77;Этот;закон;был;принят;;;;;;;;
78;Да;;;;;;;;;;;
79;Нет;;;;;;;;;;;
80;Добавить;график;;;;;;;;;;
81;Добавить;карту;;;;;;;;;;
82;Нет;;;;;;;;;;;
83;Название;закона;;;;;;;;;;
84;Добавить;район;;;;;;;;;;
85;Удалить;район;;;;;;;;;;
86;Добавить;новый;район;;;;;;;;;
87;Удерживайте;правую;кнопку;что;бы;рисовать;район;;;;;
88;Причины;;;;;;;;;;;
89;Предложить;закон;;;;;;;;;;
90;Выпадающий;список;выбора;слоя;;;;;;;;
91;Поверхность;;;;;;;;;;;
92;Температура;;;;;;;;;;;
93;Высота;;;;;;;;;;;
94;unity;сможет;выдавать;весь;список;опций;позже;;;;;
95;Выбор;слоя;по;имени;или;номеру;;;;;;
96;Аргументируйте;необходимость;закона,;карта;будет;сдвинута;для;соответствия;тексту;позднее;;
97;Прогресс;студентов;;;;;;;;;;
98;Нет;созданных;районов;;;;;;;;;
99;Активные;районы;;;;;;;;;;
100;Ранги;кандидатов;за;каждый;год;;;;;;;
101;Нет;активных;законов;;;;;;;;;
102;Нет;предложенных;законов;;;;;;;;;
103;Игроки;в;сети;;;;;;;;;
104;Время;;;;;;;;;;;
105;Падение;метеорита;;;;;;;;;;
106;Растения;;;;;;;;;;;
107;Размер;мира;;;;;;;;;;
108;Стандартные;графики;;;;;;;;;;
109;Мои;графики;;;;;;;;;;
110;ОК;;;;;;;;;;;
111;Делать;что-то...;;;;;;;;;;
112;Прочитайте;эту;информацию!;;;;;;;;;
113;Наборы;данных;;;;;;;;;;
114;Очистить;категории;;;;;;;;;;
115;Кривые;;;;;;;;;;;
116;Круговая;диаграмма;;;;;;;;;;
117;Загрузка;;;;;;;;;;;
118;Популяции;;;;;;;;;;;
119;Развитие;навыков;игроков;;;;;;;;;
120;Распространение;загрязнения;;;;;;;;;;
121;График;с;таким;названием;уже;существует!;Выберите;уникальное;название;для;вашего;графика.
122;Пожалуйста,;добавьте;набор;данных;в;ваш;график;перед;сохранением.;;;
123;График;скопирован.;Введите;уникальное;имя;и;сохраните;его.;;;;
124;Сохранить;изменения;перед;продолжением?;;;;;;;;
125;Не;сохранять;;;;;;;;;;
126;Server--RU;;;;;;;;;;;
127;User--RU;;;;;;;;;;;
128;Delete;Proposal--RU;;;;;;;;;;
129;Rank;the;candidates;from;best;to;worst.--RU;;;;;
130;Update;Vote--RU;;;;;;;;;;
131;Round--RU;;;;;;;;;;;
132;Total--RU;;;;;;;;;;;
133;Candidates;Ranked--RU;;;;;;;;;;
134;All;Votes--RU;;;;;;;;;;
135;Voters--RU;;;;;;;;;;;
136;Current;Events--RU;;;;;;;;;;
137;Government;Activity--RU;;;;;;;;;;
138;User;Activity--RU;;;;;;;;;;
139;Citizen;Activity--RU;;;;;;;;;;
140;No;Previous;Elections--RU;;;;;;;;;
141;Server;version--RU;;;;;;;;;;
142;Clauses--RU;;;;;;;;;;;
143;hr--RU;;;;;;;;;;;
144;min--RU;;;;;;;;;;;
145;sec--RU;;;;;;;;;;;
146;Posted;on--RU;;;;;;;;;;
147;Projected;result--RU;;;;;;;;;;
148;Vote--RU;;;;;;;;;;;
149;Votes--RU;;;;;;;;;;;
150;Vote;ends;in--RU;;;;;;;;;
151;Title--RU;;;;;;;;;;;
152;Winner--RU;;;;;;;;;;;
153;Ended--RU;;;;;;;;;;;
154;Ago--RU;;;;;;;;;;;
155;days--RU;;;;;;;;;;;
156;hrs--RU;;;;;;;;;;;
157;mins--RU;;;;;;;;;;;
158;in;the;last;hour--RU;;;;;;;;
159;The;winner;was--RU;;;;;;;;;
